date,Rihanna,Kendrick Lamar,Taylor Swift,Travis Scott,BTS,Blackpink,Doja Cat,Olivia Rodrigo,Zendaya,Jenna Ortega,Wednesday,Stranger Things
2024-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-07,-0.16255391515238138,0.15575703466242174,-0.22979132661905055,0.05114104425238075,-0.04195899847619167,0.07043111850952322,-0.0037328802380951487,0.016679947719047572,0.08074201257312996,0.06137813049958485,0.49691339492381026,0.12043721712857369
2025-07-09,-0.0745603660357137,-0.29743163149010243,-0.6205396543750012,0.13554863690178554,-0.15116061857142782,0.10420661941964315,-0.009798810625000431,0.004177628062500105,0.12391253422640602,0.13962187694068273,1.7024743615089264,0.20221792475000022
2025-08-06,0.0011912625210088734,-5.163031427205176,-1.0031919404201695,0.19421964293277316,0.16168131050419987,0.19901675143697428,-0.017786076428571995,0.008754689277310934,0.3321005568664619,0.3298889057641885,2.409206939109243,0.07467474926890816
2025-09-02,0.14153941930952385,-3.64740314968848,-0.7295269914285711,0.004067953523810175,0.12874604134920453,0.26437576639682536,-0.027374455079365756,0.02478650293650775,0.4319627806413644,0.5918009939973103,2.8681233560000052,0.19040993036507814
2025-09-03,0.2219157839210535,-3.4767668551246738,-2.2124638082706802,-0.2030357728458645,0.05866838496240767,0.32103425801127816,-0.038311139285713836,0.03731013022932261,0.5194925643534951,0.8946239629555928,3.4592159137330825,0.2903212068233092
2025-10-08,0.278479174678572,-3.1608803959958154,-2.3646207351428608,-0.16881996938571397,0.2563602731428567,0.4279548597714289,-0.050393883214285395,0.0328060574000002,0.5824940323015557,1.1892592970189853,5.035197991299999,0.3486906807857153
2025-11-05,0.3319548638809522,2.2180240406853073,-3.151547979047617,-0.04502906028571463,0.47574931333333126,0.470084456785715,-0.06345896404761886,0.03103023192857135,0.6417946484858552,1.3135100240210704,5.340471041952384,0.4060997332619056
2025-12-01,0.3844099828831169,2.483775189949613,-2.7898505895454484,-0.0027246677337657843,0.4436451412987008,0.5122249465259721,-0.07737242675324651,0.03325670122727242,0.6995451556534009,1.219273410447558,5.607018122928572,-0.3307318035194804
